행정구역(시군구)별(1),행정구역(시군구)별(2),2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06
부산광역시,부산진구,"4,705","4,857","4,646","4,534","4,355","3,704","4,114","3,972","3,532","4,060","3,726","4,316","4,447","5,108","5,036","4,926","4,252","4,335","4,316","4,866","4,528","4,271","4,948","5,763","5,085","5,098","5,093","4,242","4,343","4,354"
부산광역시,동래구,"2,866","2,963","3,054","2,723","2,620","2,333","2,491","2,956","2,840","3,256","3,132","3,403","3,331","3,891","4,142","2,986","2,802","3,381","3,131","3,336","3,039","3,366","3,563","4,060","3,647","3,397","3,309","2,948","3,087","2,877"
부산광역시,남  구,"3,895","4,174","3,564","3,550","3,060","2,650","3,044","3,330","2,947","3,393","3,341","3,427","3,590","4,556","4,348","3,342","2,901","3,143","3,122","3,751","3,420","3,285","3,662","4,256","3,621","3,752","3,421","2,840","2,848","2,832"
부산광역시,북  구,"2,889","3,062","2,840","2,733","2,635","2,334","2,364","2,477","2,151","2,673","3,594","3,774","3,199","3,757","3,520","2,927","2,183","3,001","2,786","3,029","2,635","2,931","2,976","3,718","3,130","3,228","3,268","3,391","3,528","2,946"
부산광역시,해운대구,"4,344","5,192","4,538","4,242","4,003","3,343","3,804","4,224","3,624","4,014","4,245","5,243","5,466","6,871","5,943","4,253","4,561","4,732","4,935","5,373","4,958","4,884","5,272","6,690","5,871","5,739","5,252","4,363","4,131","4,058"
부산광역시,사하구,"3,488","3,929","3,508","3,563","3,219","2,626","2,699","2,790","2,560","2,919","2,809","3,440","3,435","3,715","3,921","3,674","2,879","3,294","2,910","3,158","3,455","3,468","3,592","4,080","3,779","4,341","4,149","3,502","3,351","3,028"
부산광역시,금정구,"3,040","3,277","2,800","2,396","2,325","1,905","2,191","2,423","2,196","2,536","2,402","3,015","3,071","3,804","3,704","3,032","2,512","2,912","2,746","3,092","2,873","2,719","2,763","3,923","3,542","3,568","3,150","2,519","2,520","2,475"
부산광역시,강서구,"1,761","2,020","1,648","1,583","1,437","1,160","1,297","1,317","1,122","1,338","1,276","1,626","1,665","1,941","1,627","3,192","1,373","1,265","1,221","1,571","1,716","1,603","1,729","2,133","1,907","2,137","1,609","1,442","1,350","1,354"
부산광역시,연제구,"2,370","2,544","2,338","2,494","2,131","2,290","2,212","2,178","1,878","2,251","2,305","2,762","2,788","3,078","3,249","2,424","2,240","2,479","2,346","2,900","2,693","2,611","3,075","3,567","2,840","2,783","2,955","2,607","2,499","2,320"
부산광역시,수영구,"2,434","2,375","2,117","2,250","2,176","2,087","2,167","2,433","2,143","2,453","2,379","2,567","2,667","2,992","3,169","2,457","2,332","2,341","2,535","3,046","3,044","2,740","2,782","3,300","2,698","2,721","2,930","2,258","2,313","2,319"
부산광역시,사상구,"2,110","2,288","2,150","2,054","1,920","1,807","1,809","1,990","1,735","2,131","1,992","2,243","2,025","2,373","2,498","2,221","1,980","1,971","1,972","2,061","2,022","2,053","2,262","2,490","2,307","2,311","2,465","2,088","2,208","2,028"
부산광역시,기장군,"1,540","1,765","1,299","1,369","1,185",973,"1,161","1,262","1,197","1,271","1,241","1,537","1,692","3,216","2,233","2,071","1,853","1,777","2,100","1,815","1,500","1,532","1,401","1,805","2,087","2,220","1,928","1,637","1,427","1,279"
대구광역시,소계,"32,735","33,654","27,708","25,185","28,792","24,933","26,231","25,451","23,294","27,452","27,825","32,832","29,106","34,810","35,181","28,545","26,618","28,145","26,876","26,926","29,824","29,303","32,114","36,635","31,595","33,897","33,844","27,429","24,686","23,620"
대구광역시,중  구,"1,442","1,359","1,272","1,222","1,346","1,172","1,069","1,108","1,038","1,155","1,119","1,365","1,277","1,499","1,577","1,300","1,265","1,318","1,148","1,044","1,262","1,156","1,225","1,570","1,355","1,381","1,502","1,184","1,094","1,027"
대구광역시,동  구,"4,981","4,823","4,048","3,577","4,057","3,721","3,904","3,556","3,084","3,623","3,706","4,552","3,996","4,958","5,010","4,149","3,918","4,354","4,022","3,778","4,304","4,275","4,686","5,215","4,444","4,772","5,285","4,491","3,772","3,516"
대구광역시,서  구,"2,283","2,182","2,163","2,461","2,937","2,738","2,841","2,446","2,222","2,333","2,134","2,292","1,873","2,049","2,527","1,952","2,037","2,106","1,853","1,735","2,055","1,890","2,136","2,131","1,790","1,801","2,160","1,792","1,725","1,873"
대구광역시,남  구,"2,443","2,478","2,235","1,964","2,209","1,844","2,093","1,968","1,807","2,119","2,067","2,249","1,919","2,172","2,537","2,087","1,865","2,066","1,974","1,869","2,175","2,247","2,463","2,523","2,206","2,167","2,405","2,045","1,975","1,894"
대구광역시,북  구,"5,005","5,563","4,346","3,880","5,503","4,526","4,540","4,204","3,672","4,639","4,698","5,414","4,703","5,831","6,165","4,916","4,841","5,310","4,628","4,788","5,148","4,427","4,893","6,006","5,176","5,985","6,335","4,785","4,314","3,955"
대구광역시,수성구,"5,873","6,664","5,116","4,260","4,599","4,017","4,345","4,610","4,384","5,221","5,516","6,259","5,872","7,445","6,413","5,185","4,535","4,694","4,612","4,748","4,872","5,406","6,216","7,300","6,313","6,929","6,212","5,271","4,750","4,567"
대구광역시,달서구,"7,897","7,630","6,057","5,682","5,891","5,009","5,476","5,494","4,975","5,952","6,053","7,313","6,773","7,762","7,917","6,462","5,816","6,047","6,185","6,394","7,222","7,308","7,531","8,393","7,098","7,208","6,788","5,562","5,103","4,886"
대구광역시,달성군,"2,811","2,955","2,471","2,139","2,250","1,906","1,963","2,065","2,112","2,410","2,532","3,388","2,693","3,094","3,035","2,494","2,341","2,250","2,454","2,570","2,786","2,594","2,964","3,497","3,213","3,654","3,157","2,299","1,953","1,902"
인천광역시,소계,"37,061","39,321","37,659","35,954","37,115","31,106","35,116","34,441","30,545","35,176","34,138","34,719","32,134","42,278","44,279","38,488","36,833","38,934","37,000","40,008","37,855","34,225","36,039","42,231","34,324","36,143","40,554","35,240","35,336","34,330"
인천광역시,중  구,"1,874","1,923","1,889","1,926","2,075","1,719","1,997","1,734","1,466","1,842","1,663","1,754","1,653","1,938","2,205","1,927","1,660","1,899","1,800","1,960","1,669","1,680","1,809","1,989","1,938","1,935","2,319","2,003","1,978","1,757"
인천광역시,동  구,725,797,741,690,693,560,601,585,510,647,690,582,491,634,802,737,625,801,702,706,696,627,629,"1,161",735,592,696,605,698,700
인천광역시,남  구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,미추홀구,"5,514","5,738","5,805","5,469","5,694","4,680","5,234","5,189","4,611","5,291","5,117","4,980","4,624","5,942","6,482","5,816","5,297","5,719","5,744","5,999","5,776","5,303","5,191","6,636","4,948","4,987","5,757","5,266","5,155","5,486"
인천광역시,연수구,"5,069","5,664","4,126","3,986","4,261","3,714","4,532","4,843","3,962","4,509","4,414","4,762","4,411","6,764","6,057","5,093","5,022","5,139","4,967","5,874","5,433","4,940","5,444","5,797","4,721","5,323","5,359","4,117","4,451","4,432"
인천광역시,남동구,"6,585","6,926","7,122","6,484","6,903","5,710","6,407","6,399","5,703","6,279","6,304","6,141","5,483","7,521","7,734","6,939","6,996","6,749","6,526","7,681","6,809","5,862","6,148","7,276","6,159","6,138","6,993","6,253","6,272","5,976"
인천광역시,부평구,"6,223","6,192","6,359","6,502","6,820","5,601","6,453","6,066","5,477","6,342","5,834","5,863","5,587","7,177","7,672","6,583","6,457","6,775","6,017","6,320","6,238","5,800","6,354","7,613","6,015","6,223","6,806","6,053","6,335","5,996"
인천광역시,계양구,"3,626","4,032","4,140","4,045","3,558","2,917","3,197","3,059","2,947","3,340","3,197","3,269","2,846","3,670","4,089","3,684","3,088","3,588","3,320","3,471","3,611","3,198","3,375","3,731","3,102","3,588","4,461","3,741","3,410","3,215"
인천광역시,서구,"6,482","6,848","6,592","5,996","6,328","5,440","5,989","5,806","5,259","6,119","6,120","6,370","6,070","7,598","8,077","6,866","6,888","7,378","7,032","7,118","6,837","6,035","6,264","7,110","5,839","6,451","7,090","6,334","6,184","5,952"
인천광역시,강화군,611,693,581,552,520,503,469,502,427,584,571,668,609,651,809,578,551,611,655,642,579,594,608,644,578,594,757,560,633,577
인천광역시,옹진군,352,508,304,304,263,262,237,258,183,223,228,330,360,383,352,265,249,275,237,237,207,186,217,274,289,312,316,308,220,239
광주광역시,소계,"19,465","22,340","19,992","17,215","17,165","15,129","18,496","18,171","15,990","18,003","18,254","20,785","19,282","21,884","23,235","19,133","17,539","18,889","17,230","16,906","18,371","17,942","18,907","22,928","21,594","22,001","21,570","17,967","17,366","16,658"
광주광역시,동  구,"1,562","1,656","1,580","1,369","1,383","1,366","1,680","1,721","1,382","1,378","1,469","1,583","1,467","1,689","1,732","1,437","1,260","1,339","1,147","1,148","1,430","1,550","1,446","1,591","1,597","1,788","1,707","1,566","1,510","1,405"
광주광역시,서  구,"3,962","4,573","4,267","3,384","3,494","3,298","3,982","3,681","3,381","3,831","3,877","4,249","3,945","4,586","4,915","4,097","3,623","4,000","3,484","3,265","3,713","3,643","3,785","4,581","4,285","4,474","4,573","3,736","3,595","3,596"
광주광역시,남  구,"3,085","3,732","3,018","2,514","2,527","2,428","3,186","2,947","2,493","2,711","2,814","3,132","2,814","3,256","3,132","2,649","2,808","2,630","2,459","2,459","2,631","2,502","2,796","3,453","3,182","3,216","3,390","2,744","2,784","2,624"
광주광역시,북  구,"5,752","6,577","5,992","5,635","5,435","4,355","5,299","5,468","4,865","5,452","5,452","6,305","5,875","6,669","7,217","5,694","5,193","5,819","5,172","5,004","5,827","5,448","5,871","7,230","6,812","6,583","6,141","5,247","5,069","4,784"
광주광역시,광산구,"5,104","5,802","5,135","4,313","4,326","3,682","4,349","4,354","3,869","4,631","4,642","5,516","5,181","5,684","6,239","5,256","4,655","5,101","4,968","5,030","4,770","4,799","5,009","6,073","5,718","5,940","5,759","4,674","4,408","4,249"
대전광역시,소계,"22,133","23,295","19,846","17,372","16,640","15,142","18,850","17,890","17,136","19,436","18,866","22,160","21,431","25,800","23,210","18,408","18,014","19,547","17,945","17,860","18,551","20,288","18,519","23,845","21,146","22,280","21,761","16,804","15,875","15,835"
대전광역시,동  구,"3,611","3,506","2,720","2,543","2,445","2,053","2,680","2,563","2,489","2,979","2,909","3,394","3,137","3,971","3,578","2,872","2,833","3,043","2,592","2,690","2,666","2,740","2,483","3,952","3,755","3,435","3,177","2,486","2,379","2,309"
대전광역시,중  구,"3,227","3,252","3,080","2,581","2,629","2,297","2,727","2,710","2,754","2,974","3,033","3,281","2,957","3,628","3,626","3,030","2,998","3,211","2,852","2,766","2,804","2,839","2,669","3,599","2,895","3,089","3,320","2,661","2,526","2,526"
대전광역시,서  구,"7,192","7,751","6,759","6,344","5,888","5,263","6,498","6,052","6,224","6,701","6,226","7,360","7,135","8,600","7,783","6,122","6,150","6,357","6,003","6,107","6,152","6,678","6,382","7,846","6,848","7,549","7,430","5,666","5,309","5,443"
대전광역시,유성구,"5,948","6,569","5,205","4,100","3,826","3,876","4,963","4,739","4,072","4,740","4,702","5,883","6,106","7,190","5,767","4,364","4,074","4,633","4,424","4,495","4,459","4,848","4,697","5,959","5,518","6,245","5,633","4,152","3,877","3,822"
